id,curve_id,month_id,settle
1,2,1,95.47
2,2,2,95.79
3,2,3,96.16
4,2,4,96.59
5,2,5,96.91
6,2,6,97.07
7,2,7,97.03
8,2,8,96.88
9,2,9,96.65
10,2,10,96.38
11,2,11,96.08
12,2,12,95.78
13,2,13,95.48
14,2,14,95.19
15,2,15,94.91
16,2,16,94.5
17,2,17,94.15
18,2,18,93.79
19,2,19,93.44
20,2,20,93.11
21,2,21,92.78
22,2,22,92.39
23,2,23,92.05
24,2,24,91.75
25,2,25,91.48
26,2,26,91.25
27,2,27,91.06
28,2,28,90.73
29,2,29,90.41
30,2,30,90.09
31,2,31,89.8
32,2,32,89.52
33,2,33,89.28
34,2,34,89.04
35,2,35,88.81
36,2,36,88.61
37,2,37,88.41
38,2,38,88.22
39,2,39,88.04
40,2,40,87.84
41,2,41,87.65
42,2,42,87.46
43,2,43,87.29
44,2,44,87.13
45,2,45,86.98
46,2,46,86.83
47,2,47,86.68
48,2,48,86.53
49,2,49,86.39
50,2,50,86.25
51,2,51,86.12
52,2,52,86.04
53,2,53,85.97
54,2,54,85.9
55,2,55,85.83
56,2,56,85.77
57,2,57,85.71
58,2,58,85.65
59,2,59,85.6
60,2,60,85.55
61,2,61,85.5
62,2,62,85.45
63,2,63,85.4
64,2,64,85.29
65,2,65,85.18
66,2,66,85.12
67,2,67,85.06
68,2,68,85.03
69,2,69,85
70,1,1,112.26
71,1,2,111.7
72,1,3,111.26
73,1,4,110.86
74,1,5,110.44
75,1,6,110
76,1,7,109.56
77,1,8,109.1
78,1,9,108.64
79,1,10,108.2
80,1,11,107.75
81,1,12,107.29
82,1,13,106.81
83,1,14,106.36
84,1,15,105.91
85,1,16,105.47
86,1,17,105.01
87,1,18,104.56
88,1,19,104.11
89,1,20,103.66
90,1,21,103.18
91,1,22,102.72
92,1,23,102.27
93,1,24,101.83
94,1,25,101.39
95,1,26,100.96
96,1,27,100.53
97,1,28,100.13
98,1,29,99.73
99,1,30,99.33
100,1,31,98.93
101,1,32,98.54
102,1,33,98.15
103,1,34,97.8
104,1,35,97.45
105,1,36,97.11
106,1,37,96.77
107,1,38,96.43
108,1,39,96.09
109,1,40,95.8
110,1,41,95.51
111,1,42,95.22
112,1,43,94.93
113,1,44,94.64
114,1,45,94.36
115,1,46,94.1
116,1,47,93.84
117,1,48,93.59
118,1,49,93.34
119,1,50,93.09
120,1,51,92.84
121,1,57,91.71
122,1,63,90.79
123,1,64,90.37
124,1,65,89.95
125,1,66,89.91
126,1,67,89.87
127,3,1,95.47
128,3,2,95.79
129,3,3,96.16
130,3,4,96.59
131,3,5,96.91
132,3,6,97.07
133,3,7,97.03
134,3,8,96.88
135,3,9,96.65
136,3,10,96.38
137,3,11,96.08
138,3,12,95.78
139,3,13,95.48
140,3,14,95.19
141,3,15,94.91
142,3,16,94.5
143,3,17,94.15
144,3,18,93.79
145,3,19,93.44
146,3,20,93.11
147,3,21,92.78
148,3,22,92.39
149,3,23,92.05
150,3,24,91.75
151,3,25,91.48
152,3,26,91.25
153,3,27,91.06
154,3,28,90.73
155,3,29,90.41
156,3,30,90.09
157,3,31,89.8
158,3,32,89.52
159,3,33,89.28
160,3,34,89.04
161,3,35,88.81
162,3,36,88.61
163,3,37,88.41
164,3,38,88.22
165,3,39,88.04
166,3,40,87.84
167,3,41,87.65
168,3,42,87.46
169,3,43,87.29
170,3,44,87.13
171,3,45,86.98
172,3,46,86.83
173,3,47,86.68
174,3,48,86.53
175,3,49,86.39
176,3,50,86.25
177,3,51,86.12
178,3,52,86.04
179,3,53,85.97
180,3,54,85.9
181,3,55,85.83
182,3,56,85.77
183,3,57,85.71
184,3,58,85.65
185,3,59,85.6
186,3,60,85.55
187,3,61,85.5
188,3,62,85.45
189,3,63,85.4
190,3,64,85.29
191,3,65,85.18
192,3,66,85.12
193,3,67,85.06
194,3,68,85.03
195,3,69,85
